дхритараштрах увача  Z царь Дхритараштра сказал
 васудевах  Z Кришна в Двараке
 асми  Z (Я) есть
 пандаванам  Z из Пандавов
 дхананджайах  Z Aрджуна
 мунинам  Z среди мудрецов
 апи  Z также
 ахам  Z Я
 вйасах  Z Вьяса, составитель Вед
 кавинам  Z из великих мыслителей
 ушана  Z Ушана
 кавих  Z мыслитель
дандах  Z наказание
 дамайатам  Z из всех способов подавления
 асми  Z (Я) есть
 нитих  Z нравственность
 асми  Z (Я) есть
 джигишатам  Z тех, кто стремится к победе
 маунам  Z безмолвие
 ча  Z и
 эва  Z также
 асми  Z (Я) есть
 гухйанам  Z тайн
 джнанам  Z знание
 джнана-ватам  Z мудрых
 ахам  Z Я
йат  Z которое
 ча  Z также
 апи  Z конечно
 сарва-бхутанам  Z всех творений
 биджам  Z семя
 тат  Z то
 ахам  Z Я
 арджуна  Z о Aрджуна
 на  Z не
 тат  Z то
 асти  Z существует
 вина  Z без
 йат  Z которое
 сйат  Z было бы
 майа  Z Мной
 бхутам  Z сотворенное живое существо
 чара-ачарам  Z движущееся и неподвижное
на  Z не
 антах  Z предел
 асти  Z существует
 мама  Z Моих
 дивйанам  Z божественных
 вибхутинам  Z богатств
 парантапа  Z о покоритель врагов
 эшах  Z это
 ту  Z но
 уддешатах  Z в качестве примера
 проктах  Z сказано
 вибхутех  Z богатства
 вистарах  Z распространение
 майа  Z Мной
йат йат  Z любые
 вибхути  Z богатством
 мат  Z обладающее
 саттвам  Z бытие
 шри-мат  Z прекрасное
 урджитам  Z величественное
 эва  Z несомненно
 ва  Z или
 тат тат  Z то
 эва  Z именно
 авагаччха  Z пойми
 твам  Z ты
 мама  Z Мое
 теджах  Z великолепие
 Амша  Z части
 самбхавам  Z возникшее
атха ва  Z или
 бахуна  Z во многом
 этена  Z в этом
 ким  Z что
 джнатена  Z в знании
 тава  Z твоем
 арджуна  Z о Aрджуна
 виштабхйа  Z проникнув
 ахам  Z Я
 идам  Z эту
 критснам  Z всю
 эка  Z одной
 амшена  Z частью
 стхитах  Z пребывающий
 джагат  Z вселенную
арджунах увача  Z Aрджуна сказал
 мат-ануграхайа  Z чтобы явить мне милость
 парамам  Z высшее
 гухйам  Z сокровенное знание
 адхйатма  Z о духовном
 самджнитам  Z сообщенное
 йат  Z которое
 твайа  Z Тобой
 уктам  Z рассказано
 вачах  Z речь
 тена  Z тем
 мохах  Z иллюзия
 айам  Z эта
 вигатах  Z устранена
 мама  Z моя
Бхава  Z появление
 апйайау  Z исчезновение
 хи  Z безусловно
 бхутанам  Z живых существ
 шрутау  Z услышанные
 вистарашах  Z подробно
 майа  Z мной
 тваттах  Z от Тебя
 камала-патра-акша  Z о лотосоокий
 махатмйам  Z величие
 апи  Z конечно
 ча  Z и
 авйайам  Z беспредельное
эвам  Z итак
 этат  Z этот
 йатха  Z как
 аттха  Z рассказал
 твам  Z Ты
 атманам  Z Сам
 парама-ишвара  Z о Верховный Господь
 драштум  Z видеть
 иччхами  Z желаю
 те  Z Твою
 рупам  Z облик
 аишварам  Z божественный
 Пуруша-уттама  Z о величайшая личность
манйасе  Z Ты думаешь
 йади  Z если
 тат  Z что
 шакйам  Z способен
 майа  Z я
 драштум  Z увиденный
 ити  Z таким образом
 прабхо  Z о Господь
 Йога-ишвара  Z о владыка мистических сил
 татах  Z тогда
 ме  Z мне
 твам  Z Ты
 даршайа  Z яви
 атманам  Z Себя
 авйайам  Z вечного
шри-бхагаван увача  Z Верховный Господь сказал
 пашйа  Z взгляни
 ме  Z на Мои
 партха  Z о сын Притхи
 рупани  Z формы
 шаташах  Z сотнями
 атха  Z и
 сахасрашах  Z тысячами
 нана-видхани  Z разнообразные
 дивйани  Z божественные
 нана  Z разнообразных
 Варна  Z цветов
 акритини  Z формы
 ча  Z также
пашйа  Z взгляни
 адитйан  Z на двенадцать сыновей Aдити
 васун  Z на восемь Васу
 рудран  Z на одиннадцать Рудр
 ашвинау  Z на двоих Aшвинов
 марутах  Z на сорок девять Марутов (полубогов ветра)
 татха  Z также
 бахуни  Z на множество
 адришта  Z не виданных (тобой)
 пурвани  Z тех, кто прежде
 пашйа  Z узри
 ашчарйани  Z чудеса
 бхарата  Z о лучший из Бхарат
иха  Z здесь
 эка-стхам  Z находящиеся в одном месте
 джагат  Z вселенную
 критснам  Z полностью
 пашйа  Z узри
 адйа  Z сейчас
 са  Z с
 чара  Z движущееся
 ачарам  Z и неподвижное
 мама  Z в Моем
 дехе  Z в теле
 гудакеша  Z о Aрджуна
 йат  Z что
 ча  Z также
 анйат  Z другое
 драштум  Z видеть
 иччхаси  Z желаешь
на  Z не
 ту  Z но
 мам  Z Меня
 шакйасе  Z можешь
 драштум  Z увидеть
 анена  Z этим
 эва  Z безусловно
 сва-чакшуша  Z своим зрением
 дивйам  Z божественное
 дадами  Z даю
 те  Z тебе
 чакшух  Z зрение
 пашйа  Z узри
 ме  Z Мое
 йогам аишварам  Z непостижимое мистическое могущество
санджайах увача  Z Санджая сказал
 эвам  Z так
 уктва  Z произнеся
 татах  Z затем
 раджан  Z о царь
 маха-йога-ишварах  Z самый могущественный мистик
 харих  Z Верховная Личность Бога, Кришна
 даршайам аса  Z показал
 партхайа  Z Aрджуне
 парамам  Z божественную
 рупам аишварам  Z вселенскую форму
анека  Z разнообразные
 вактра  Z рты
 найанам  Z ту, у которой глаза
 анека  Z разнообразные
 адбхута  Z удивительные
 даршанам  Z черты
 анека  Z многие
 дивйа  Z чудесные
 абхаранам  Z ту, на которой украшения
 дивйа  Z божественное
 анека  Z разнообразное
 удйата  Z занесенное
 айудхам  Z (держащую) оружие
 дивйа  Z великолепные
 малйа  Z гирлянды
 амбара  Z одежды
 дхарам  Z носящую
 дивйа  Z диковинные
 гандха  Z благовониями
 анулепанам  Z умащенную
 сарва  Z всего
 ашчарйа-майам  Z (исполненную) чудесного
 девам  Z ослепительную
 анантам  Z безграничную
 вишватах-мукхам  Z всеохватывающую
диви  Z на небе
 сурйа  Z солнц
 сахасрасйа  Z сотни тысяч
 бхавет  Z был бы
 йугапат  Z одновременно
 уттхита  Z возникший
 йади  Z если
 бхах  Z свет
 садриши  Z подобный
 са  Z этот
 сйат  Z было бы
 бхасах  Z сияния
 тасйа  Z Его
 маха-атманах  Z великого Господа
татра  Z там
 эка-стхам  Z находящуюся в одном месте
 джагат  Z вселенную
 критснам  Z полностью
 правибхактам  Z разделенную
 анекадха  Z на множество частей
 апашйат  Z увидел
 дева-девасйа  Z Верховной Личности Бога
 шарире  Z во вселенской форме
 пандавах  Z Aрджуна
 тада  Z тогда
татах  Z затем
 сах  Z он
 висмайа-авиштах  Z охваченный изумлением
 хришта-рома  Z тот, у которого от великого экстаза волосы на теле поднялись
 дхананджайах  Z Aрджуна
 пранамйа  Z склонившись
 шираса  Z головой
 девам  Z Верховной Личности Бога
 крита-анджалих  Z сложивший ладони
 абхашата  Z заговорил
арджунах увача  Z Aрджуна сказал
 пашйами  Z вижу
 деван  Z (всех) полубогов
 тава  Z в Твоем
 дева  Z о Господь
 дехе  Z теле
 сарван  Z всех
 татха  Z затем
 бхута  Z живых существ
 вишеша-сангхан  Z собравшихся видов
 брахманам  Z Господа Брахму
 ишам  Z Господа Шиву
 камала-Асана-стхам  Z восседающего на цветке лотоса
 ришин  Z великих мудрецов
 ча  Z также
 сарван  Z всех
 ураган  Z змеев
 ча  Z также
 дивйан  Z божественных
анека  Z (обладающую) множеством
 баху  Z рук
 удара  Z животов
 вактра  Z ртов
 нетрам  Z глаз
 пашйами  Z я вижу
 твам  Z Тебя
 сарватах  Z со всех сторон
 Ананта-рупам  Z обладающую беспредельной формой
 на антам  Z нет конца
 на мадхйам  Z нет середины
 на пунах  Z нет и
 тава  Z у Твоего
 адим  Z начала
 пашйами  Z вижу
 вишва-ишвара  Z о Господь вселенной
 вишва-рупа  Z о вселенская форма
киритинам  Z с коронами
 гадинам  Z (несущего) палицы
 чакринам  Z вооруженного дисками
 ча  Z и
 теджах-рашим  Z сияющего
 сарватах  Z во все стороны
 дипти-мантам  Z сияющего
 пашйами  Z вижу
 твам  Z Тебя
 дурнирикшйам  Z того, на кого трудно смотреть
 самантат  Z повсюду
 дипта-анала  Z (подобный) бушующему пожару
 арка  Z солнца
 дйутим  Z излучающего свет
 апрамейам  Z неизмеримого
твам  Z Ты
 акшарам  Z непогрешимое
 парамам  Z высшее
 ведитавйам  Z цель познания
 твам  Z Ты
 асйа  Z этой
 вишвасйа  Z вселенной
 парам  Z высшая
 нидханам  Z основа
 твам  Z Ты
 авйайах  Z неисчерпаемый
 шашвата-дхарма-гопта  Z хранитель вечной религии
 санатанах  Z вечный
 твам  Z Ты
 пурушах  Z Верховная Личность
 матах ме  Z мое мнение
анади  Z без начала
 мадхйа  Z середины
 антам  Z того, кто без конца
 ананта  Z беспредельно
 вирйам  Z того, чье великолепие
 ананта  Z бесчисленными
 бахум  Z (обладающего) руками
 шаши  Z луна
 сурйа  Z и солнце
 нетрам  Z того, чьи глаза
 пашйами  Z вижу
 твам  Z Тебя
 дипта  Z пылающий
 хуташа-вактрам  Z того, из чьих уст вырывается огонь
 сва-теджаса  Z Своим сиянием
 вишвам  Z вселенную
 идам  Z эту
 тапантам  Z сжигающего
дйау  Z от космического пространства
 а-притхивйох  Z до Земли
 идам  Z это
 антарам  Z промежуточные
 хи  Z безусловно
 вйаптам  Z заполнено
 твайа  Z Тобой
 экена  Z одним
 дишах  Z стороны света
 ча  Z и
 сарвах  Z все
 дриштва  Z увидеть
 адбхутам  Z чудесную
 рупам  Z форму
 уграм  Z ужасную
 тава  Z Твою
 идам  Z эту
 лока  Z миры
 трайам  Z три
 правйатхитам  Z пришедшие в смятение
 маха-атман  Z о великий
ами  Z те
 хи  Z безусловно
 твам  Z в Тебя
 сура-сангхах  Z сонмы полубогов
 вишанти  Z входят
 кечит  Z некоторые
 бхитах  Z напуганные
 пранджалайах  Z сложившие ладони
 гринанти  Z возносят молитвы
 свасти  Z мир
 ити  Z так
 уктва  Z произнося
 маха-Риши  Z великих мудрецов
 сиддха-сангхах  Z сонмы существ, достигших совершенства
 стуванти  Z исполняют гимны
 твам  Z к Тебе
 стутибхих  Z с молитвами
 пушкалабхих  Z с ведическими гимнами
Рудра  Z формы Господа Шивы
 адитйах  Z и Aдитьи
 васавах  Z Васу
 йе  Z которые
 ча  Z и
 садхйах  Z Садхьи
 вишве  Z Вишвадевы
 ашвинау  Z Aшвини-Кумары
 марутах  Z Маруты
 ча  Z и
 ушма-пах  Z предки
 ча  Z и
 гандхарва  Z гандхарвов
 йакша  Z якшасов
 Асура  Z демонов
 сиддха  Z и совершенных полубогов
 сангхах  Z сонмы
 викшанте  Z взирают
 твам  Z на Тебя
 висмитах  Z изумленные
 ча  Z также
 эва  Z несомненно
 сарве  Z все
рупам  Z форму
 махат  Z гигантскую
 те  Z Твою
 баху  Z многочисленными
 вактра  Z ликами
 нетрам  Z обладающую глазами
 маха-бахо  Z о сильнорукий
 баху  Z многочисленными
 баху  Z руками
 уру  Z чреслами
 падам  Z обладающую ногами
 баху-ударам  Z обладающую многочисленными чревами
 баху-дамштра  Z множество зубов
 каралам  Z ту, у которой ужасных
 дриштва  Z увидев
 локах  Z планеты
 правйатхитах  Z пришедшие в смятение
 татха  Z а также
 ахам  Z я
набхах-спришам  Z касающегося неба
 диптам  Z сияющего
 анека  Z обильно
 варнам  Z расцвеченного
 вйатта  Z зияющие
 ананам  Z рты
 дипта  Z горящие
 вишала  Z огромные
 нетрам  Z того, чьи глаза
 дриштва  Z увидев
 хи  Z безусловно
 твам  Z Тебя
 правйатхита  Z приведена в смятение
 антах  Z внутри
 атма  Z того, чья душа
 дхритим  Z твердость
 на  Z не
 виндами  Z имею
 шамам  Z спокойствие ума
 ча  Z также
 вишно  Z о Господь Вишну
дамштра  Z из-за зубов
 каралани  Z ужасные
 ча  Z также
 те  Z Твои
 мукхани  Z лики
 дриштва  Z увидев
 эва  Z таким образом
 кала-анала  Z огонь смерти
 саннибхани  Z напоминающие
 дишах  Z стороны света
 на  Z не
 джане  Z знаю
 на  Z не
 лабхе  Z обретаю
 ча  Z и
 шарма  Z милость
 прасида  Z смилуйся
 дева-иша  Z о повелитель богов
 джагат-ниваса  Z прибежище всех миров
ами  Z эти
 ча  Z также
 твам  Z Ты
 дхритараштрасйа  Z Дхритараштры
 путрах  Z сыновья
 сарве  Z все
 саха  Z с
 эва  Z действительно
 авани-пала  Z царей-воинов
 сангхаих  Z группами
 бхишмах  Z Бхишмадева
 дронах  Z Дроначарья
 сута-путрах  Z Карна
 татха  Z также
 асау  Z что
 саха  Z с
 асмадийаих  Z наши
 апи  Z также
 йодха-мукхйаих  Z военачальниками
 вактрани  Z в зевы
 те  Z Твои
 твараманах  Z спешащие
 вишанти  Z входят
 дамштра  Z из-за зубов
 каралани  Z ужасные
 бхайанакани  Z грозные
 кечит  Z некоторые
 вилагнах  Z застрявшие
 дашана-антарешу  Z между зубами
 сандришйанте  Z виднеются
 чурнитаих  Z с раздавленными
 уттама-ангаих  Z головами
йатха  Z как
 надинам  Z рек
 бахавах  Z многочисленные
 амбу-вегах  Z волны вод
 самудрам  Z к океану
 эва  Z безусловно
 абхимукхах  Z направленные
 драванти  Z бегут
 татха  Z так же
 тава  Z Твои
 ами  Z эти
 нара-лока-вирах  Z цари среди людей
 вишанти  Z входят
 вактрани  Z в зевы
 абхивиджваланти  Z пылают
йатха  Z как
 прадиптам  Z в пылающий
 джваланам  Z в огонь
 патангах  Z мотыльки
 вишанти  Z входят
 нашайа  Z к гибели
 самриддха  Z полной
 вегах  Z те, что со скоростью
 татха эва  Z точно так же
 нашайа  Z к смерти
 вишанти  Z входят
 локах  Z люди
 тава  Z в Твои
 апи  Z также
 вактрани  Z во рты
 самриддха-вегах  Z стремительные
лелихйасе  Z облизываешь
 грасаманах  Z поглощающий
 самантат  Z со всех сторон
 локан  Z людей
 самагран  Z всех
 ваданаих  Z ртами
 джваладбхих  Z горящими
 теджобхих  Z вспышками
 апурйа  Z покрыв
 джагат  Z вселенную
 самаграм  Z всю
 бхасах  Z лучи
 тава  Z Твои
 уграх  Z страшные
 пратапанти  Z испепеляют
 вишно  Z о вездесущий Господь
акхйахи  Z (пожалуйста) расскажи
 ме  Z мне
 ках  Z кто
 бхаван  Z Ты
 угра-рупах  Z форма, наводящая страх
 намах асту  Z да будет почтение
 те  Z Тебе
 дева-вара  Z о великий среди полубогов
 прасида  Z будь милостив
 виджнатум  Z знать
 иччхами  Z желаю
 бхавантам  Z Тебя
 адйам  Z изначального
 на  Z не
 хи  Z безусловно
 праджанами  Z знаю
 тава  Z Твоя
 правриттим  Z миссия
шри-бхагаван увача  Z Верховный Господь сказал
 калах  Z время
 асми  Z являюсь
 лока  Z миров
 кшайа-крит  Z разрушитель
 правриддхах  Z великий
 локан  Z людей
 самахартум  Z уничтожить
 иха  Z здесь (в этом мире)
 правриттах  Z собравшийся
 рите  Z кроме
 апи  Z даже
 твам  Z тебя
 на  Z не
 бхавишйанти  Z будут
 сарве  Z все
 йе  Z которые
 авастхитах  Z расположены
 прати-аникешу  Z на противоположных сторонах
 йодхах  Z воины
тасмат  Z поэтому
 твам  Z ты
 уттиштха  Z восстань
 йашах  Z славу
 лабхасва  Z стяжай
 джитва  Z покорив
 шатрун  Z врагов
 бхункшва  Z вкушай
 раджйам  Z царство
 самриддхам  Z цветущее
 майа  Z Мной
 эва  Z непременно
 эте  Z все эти
 нихатах  Z убиты
 пурвам эва  Z по предыдущему (замыслу)
 нимитта-матрам  Z орудие
 бхава  Z стань
 савйа-сачин  Z о Савьясачи
дронам ча  Z и Дрона
 бхишмам ча  Z и Бхишма
 джайадратхам ча  Z и Джаядратха
 карнам  Z Карна
 татха  Z также
 анйан  Z другие
 апи  Z безусловно
 йодха-виран  Z великие воины
 майа  Z Мной
 хатан  Z уничтожены
 твам  Z ты
 джахи  Z убей
 ма  Z не
 вйатхиштхах  Z тревожься
 йудхйасва  Z сражайся
 джета аси  Z одолеешь
 ране  Z в битве
 сапатнан  Z врагов
санджайах увача  Z Санджая сказал
 этат  Z эту
 шрутва  Z услышав
 вачанам  Z речь
 кешавасйа  Z Кришны
 крита-анджалих  Z молитвенно сложивший ладони
 вепаманах  Z дрожащий
 кирити  Z Aрджуна
 намаскритва  Z отдав поклон
 бхуйах  Z снова
 эва  Z также
 аха  Z сказал
 кришнам  Z Кришне
 са-гадгадам  Z запинаясь
 бхита-бхитах  Z напуганный
 пранамйа  Z почтительно склонившись
арджунах увача  Z Aрджуна сказал
 стхане  Z правильно
 хришика-иша  Z о властитель чувств
 тава  Z Твоим
 пракиртйа  Z величием
 джагат  Z весь мир
 прахришйати  Z радуется
 анураджйате  Z влечется
 ча  Z и
 ракшамси  Z демоны
 бхитани  Z испуганные
 дишах  Z во все стороны
 драванти  Z разбегаются
 сарве  Z все
 намасйанти  Z выражают почтение
 ча  Z также
 сиддха-сангхах  Z люди, достигшие совершенства
касмат  Z почему
 ча  Z и
 те  Z Тебе
 на  Z не
 намеран  Z пусть поклоняются
 маха-атман  Z о великий
 гарийасе  Z тому, кто лучше
 брахманах  Z Брахмы
 апи  Z даже
 ади-картре  Z верховному создателю
 ананта  Z беспредельный
 дева-иша  Z о владыка полубогов
 джагат-ниваса  Z о вместилище вселенной
 твам  Z Ты
 акшарам  Z неуничтожимая
 Сат-асат  Z причина и следствие
 тат парам  Z то трансцендентное
 йат  Z которое
твам  Z Ты
 ади-девах  Z изначальный Верховный Господь
 пурушах  Z личность
 пуранах  Z старейший
 твам  Z Ты
 асйа  Z этой
 вишвасйа  Z вселенной
 парам  Z трансцендентное
 нидханам  Z прибежище
 ветта  Z знающий
 аси  Z Ты есть
 ведйам  Z познаваемое
 ча  Z и
 парам  Z трансцендентная
 ча  Z и
 дхама  Z обитель
 твайа  Z Тобой
 татам  Z пронизана
 вишвам  Z вселенная
 ананта-рупа  Z о беспредельный
вайух  Z воздух
 йамах  Z правитель
 агних  Z огонь
 варунах  Z вода
 шаша-анках  Z луна
 праджапатих  Z Брахма
 твам  Z Ты
 прапитамахах  Z прадед
 ча  Z также
 намах  Z поклон
 намах  Z поклон
 те  Z Тебе
 асту  Z да будет
 сахасра-критвах  Z тысячу раз
 пунах ча  Z и еще
 бхуйах  Z снова
 апи  Z также
 намах  Z поклон
 намах те  Z почтительный поклон Тебе
намах  Z поклон
 пурастат  Z спереди
 атха  Z затем
 приштхатах  Z сзади
 те  Z Тебе
 намах асту  Z да будет поклон
 те  Z Тебе
 сарватах  Z со всех сторон
 эва  Z воистину
 сарва  Z (ибо Ты) все
 ананта-вирйа  Z беспредельной мощи
 амита-викрамах  Z неизмеримая сила
 твам  Z Ты
 сарвам  Z все
 самапноши  Z объемлешь
 татах  Z потому
 аси  Z (Ты) есть
 сарвах  Z все
Сакха  Z друг
 ити  Z так
 матва  Z подумав
 прасабхам  Z не подумав
 йат  Z что
 уктам  Z сказано
 хе кришна  Z о Кришна
 хе йадава  Z о Ядава
 хе сакхе  Z о мой друг
 ити  Z так
 аджаната  Z не знающим
 махиманам  Z славу
 тава  Z Твою
 идам  Z эту
 майа  Z мной
 прамадат  Z из-за глупости
 пранайена  Z любовью
 ва апи  Z либо
 йат  Z то, чем
 ча  Z также
 авахаса-артхам  Z шутки ради
 асат-критах  Z обесчещен
 аси  Z являешься
 вихара  Z во время отдыха
 шаййа  Z лежа
 асана  Z сидя
 бходжанешу  Z и во время совместной трапезы
 эках  Z один
 атха ва  Z или
 апи  Z также
 ачйута  Z о непогрешимый
 тат-самакшам  Z перед теми (друзьями)
 тат  Z за то
 кшамайе  Z прошу извинения
 твам  Z Тебя
 ахам  Z я
 апрамейам  Z неизмеримое
пита  Z отец
 аси  Z являешься
 локасйа  Z мира
 чара  Z движущегося
 ачарасйа  Z и неподвижного
 твам  Z Ты
 асйа  Z этого
 пуджйах  Z объект поклонения
 ча  Z и
 гурух  Z учитель
 гарийан  Z достославный
 на  Z не
 тват-самах  Z равный Тебе
 асти  Z существует
 абхйадхиках  Z более великий
 кутах  Z откуда
 анйах  Z другой
 лока-трайе  Z в трех планетных системах
 апи  Z даже
 апратима-прабхава  Z о безгранично могущественный
тасмат  Z поэтому
 пранамйа  Z почтительно склонившись
 пранидхайа  Z простерев
 кайам  Z тело
 прасадайе  Z молю о милости
 твам  Z Тебя
 ахам  Z Я
 ишам  Z Верховного Господа
 идйам  Z достойного поклонения
 пита ива  Z как отец
 путрасйа  Z сына
 сакха ива  Z как друг
 сакхйух  Z от друга
 прийах  Z любящий
 прийайах  Z от возлюбленной
 архаси  Z должен
 дева  Z Господь
 содхум  Z терпеть
адришта-пурвам  Z не виданную прежде
 хришитах  Z обрадованный
 асми  Z являюсь
 дриштва  Z увидев
 бхайена  Z страхом
 ча  Z также
 правйатхитам  Z находящийся в смятении
 манах  Z ум
 ме  Z мой
 тат  Z ту
 эва  Z непременно
 ме  Z мне
 даршайа  Z яви
 дева  Z о Господь
 рупам  Z форму
 прасида  Z будь милостив
 дева-иша  Z о Владыка владык
 джагат-ниваса  Z прибежище вселенной
киритинам  Z в короне
 гадинам  Z (держащего) палицу
 чакра-хастам  Z того, в чьей руке диск
 иччхами  Z желаю
 твам  Z Тебя
 драштум  Z видеть
 ахам  Z я
 татха эва  Z точно так же
 тена эва  Z этой самой
 рупена  Z формой
 чатух-бхуджена  Z четырехрукой
 сахасра-бахо  Z о тысячерукий
 бхава  Z стань
 вишва-мурте  Z о вселенская форма
шри-бхагаван увача  Z Верховный Господь сказал
 майа  Z Мной
 прасаннена  Z с радостью
 тава  Z тебе
 арджуна  Z о Aрджуна
 идам  Z эта
 рупам  Z форма
 парам  Z духовная
 даршитам  Z явленная
 атма-йогат  Z благодаря Моей внутренней энергии
 теджах-майам  Z исполненная сияния
 вишвам  Z вселенная
 анантам  Z беспредельная
 адйам  Z изначальная
 йат  Z которая
 ме  Z Моя
 тват анйена  Z кроме тебя
 на дришта-пурвам  Z нет того, кто видел
на  Z не
 веда-йаджна  Z жертвоприношениями
 адхйайанаих Z изучением Вед
 на  Z не
 данаих  Z пожертвованиями
 на  Z не
 ча  Z также
 крийабхих  Z благочестивой деятельностью
 на  Z не
 тапобхих  Z аскезами
 уграих  Z суровыми
 эвам-рупах  Z обладающий формой
 шакйах  Z доступный
 ахам  Z Я
 нри-локе  Z в материальном мире
 драштум  Z увидеть
 тват  Z кроме тебя
 анйена  Z другим
 куру-правира  Z о лучший среди воинов Куру
ма  Z да не будет
 те  Z твоя
 вйатха  Z тревога
 ма  Z да не будет
 ча  Z и
 вимудха-бхавах  Z недоумение
 дриштва  Z увидев
 рупам  Z форму
 гхорам  Z ужасающую
 идрик  Z такую (как она есть)
 мама  Z Мою
 идам  Z эту
 вйапета-бхих  Z тот, чей страх прошел
 прита-манах  Z тот, чей ум удовлетворен
 пунах  Z вновь
 твам  Z ты
 тат  Z так
 эва  Z таким образом
 ме  Z Мою
 рупам  Z форму
 идам  Z эту
 прапашйа  Z созерцает
санджайах увача  Z Санджая сказал
 ити  Z таким образом
 арджунам  Z Aрджуне
 васудевах  Z Кришна
 татха  Z таким образом
 уктва  Z произнеся
 свакам  Z Свою
 рупам  Z форму
 даршайам аса  Z явил
 бхуйах  Z вновь
 ашвасайам аса  Z ободрил
 ча  Z также
 бхитам  Z испуганного
 энам  Z его
 бхутва  Z став
 пунах  Z вновь
 саумйа-вапух  Z тот, чей облик прекрасен
 маха-атма  Z великий
арджунах увача  Z Aрджуна сказал
 дриштва  Z увидев
 идам  Z эту
 манушам  Z человеческую
 рупам  Z форму
 тава  Z Твою
 саумйам  Z прекрасную
 джанардана  Z о покоритель врагов
 иданим  Z теперь
 асми  Z являюсь
 самвриттах  Z воспрянувший
 са-четах  Z находящийся в сознании
 пракритим  Z к (моей собственной) природе
 гатах  Z пришедший
шри-бхагаван увача  Z Верховный Господь сказал
 су-дурдаршам  Z та, которую очень трудно увидеть
 идам  Z эта
 рупам  Z форма
 дриштаван аси  Z (ты) видящий
 йат  Z которую
 мама  Z Мою
 девах  Z полубоги
 апи  Z даже
 асйа  Z этой
 рупасйа  Z формы
 нитйам  Z вечно
 даршана-канкшинах  Z стремящиеся увидеть
на  Z не
 ахам  Z Я
 ведаих  Z изучением Вед
 на  Z не
 тапаса  Z суровой аскезой
 на  Z не
 данена  Z раздачей пожертвований
 на  Z не
 ча  Z и
 иджйайа  Z поклонением
 шакйах  Z возможен
 эвам-видхах  Z такой
 драштум  Z увидеть
 дриштаван  Z видящий
 аси  Z являющийся
 мам  Z Меня
 йатха  Z как
бхактйа  Z преданным служением
 ту  Z но
 ананйайа  Z не содержит примесей кармы и гьяны
 шакйах  Z возможный
 ахам  Z Меня
 эвам-видхах  Z такой
 арджуна  Z о Aрджуна
 джнатум  Z постичь
 драштум  Z видеть
 ча  Z и
 таттвена  Z на самом деле
 правештум  Z проникнуть
 ча  Z также
 парантапа  Z о покоритель врагов
мат-карма-крит  Z тот, кто трудится для Меня
 мат-парамах  Z тот, кто считает Меня Всевышним
 мат-бхактах  Z тот, кто служит Мне с любовью и преданностью
 санга-варджитах  Z тот, кто не осквернен стремлением к кармической деятельности и умозрительным рассуждениям
 нирваирах  Z не имеющий врагов
 сарва-бхутешу  Z среди живых существ
 йах  Z который
 сах  Z он
 мам  Z ко Мне
 эти  Z идет
 пандава  Z о сын Панду
арджунах увача  Z Aрджуна сказал
 эвам  Z так
 сатата  Z всегда
 йуктах  Z занятые
 йе  Z которые
 бхактах  Z преданные
 твам  Z Тебе
 парйупасате  Z поклоняются должным образом
 йе  Z которые
 ча  Z также
 апи  Z ведь
 акшарам  Z недосягаемому для чувств
 авйактам  Z непроявленному
 тешам  Z их
 ке  Z какие
 йога-вит-тамах  Z более преуспевшие в науке о йоге
шри-бхагаван увача  Z Верховный Господь сказал
 майи  Z на Мне
 авешйа  Z сосредоточив
 манах  Z ум
 йе  Z которые
 мам  Z Мне
 нитйа  Z всегда
 йуктах  Z занятые
 упасате  Z поклоняются
 шраддхайа  Z верой
 парайа  Z духовной
 упетах  Z наделены
 те  Z они
 ме  Z Мои
 йукта-тамах  Z достигшие высшего совершенства в йоге
 матах  Z понимаемые
йе  Z которые
 ту  Z но
 акшарам  Z недоступному восприятию чувств
 анирдешйам  Z неопределенному
 авйактам  Z непроявленному
 парйупасате  Z посвящают себя полностью
 сарватра-гам  Z вездесущему
 ачинтйам  Z непостижимому
 ча  Z и
 кута-стхам  Z неизменному
 ачалам  Z неподвижному
 дхрувам  Z постоянному
 саннийамйа  Z подчинив
 индрийа-грамам  Z совокупность чувств
 сарватра  Z повсюду
 сама-буддхайах  Z относящиеся беспристрастно
 те  Z они
 прапнуванти  Z достигают
 мам  Z Меня
 эва  Z непременно
 сарва-бхута-хите  Z на благо всех живых существ
 ратах  Z занятые
клешах  Z затруднение
 адхика-тарах  Z величайшее
 тешам  Z их
 авйакта  Z на непроявленном
 асакта  Z сосредоточен
 четасам  Z тех, ум которых
 авйакта  Z непроявленный
 хи  Z безусловно
 гатих  Z продвижение
 духкхам  Z трудно
 деха-вадбхих  Z воплощенными
 авапйате  Z достигается
йе  Z которые
 ту  Z же
 сарвани  Z все
 кармани  Z действия
 майи  Z во Мне
 саннйасйа  Z отказавшись
 мат-парах  Z испытывающие ко Мне привязанность
 ананйена  Z безраздельной
 эва  Z непременно
 йогена  Z бхакти-йогой
 мам  Z на Меня
 дхйайантах  Z медитирующие
 упасате  Z поклоняются
 тешам  Z их
 ахам  Z Я
 самуддхарта  Z избавитель
 мритйу  Z смерти
 самсара  Z в материальной жизни
 сагарат  Z из океана
 бхавами  Z становлюсь
 на  Z не
 чират  Z долго
 партха  Z о сын Притхи
 майи  Z на Мне
 авешита  Z сосредоточен
 четасам  Z тех, чей ум
